Boek.BBnr;freq;Boek.category_music;Boek.type;Boek.title;Boek.author_type;Boek.ISBN_wrong;Boek.category_youth;Boek.ISSN;Boek.language;Boek.EAN;Boek.age;Boek.series_edition;Boek.keywords_youth;Boek.author_lastname;Boek.publisher;Boek.author_firstname;Boek.keywords_libraries;Boek.year_published;Boek.keywords_local;Boek.pages;Boek.category_adults;Boek.SISO;Boek.literarytype;Boek.EAN_wrong;Boek.ISBN;Boek.ISSN_wrong;Boek.SISO_libraries;Boek.AVI;Boek.openvlaccid;Boek.keyword_adults;Boek.ZIZO;Boek.series_title;Boek.keyword_youth;Boek.rank
1158242;267;;Boek;De helaasheid der dingen;auteur;;;;Nederlands;;volwassenen;60;;Verhulst;Atlas Contact;Dimitri;;2014;Friedl;206 p.;Autobiografische literatuur;;fictie;;9789025443689;;;;9060294;Verhulst, Dimitri;;;;55
893388;262;;Boek;Zonder spijt;auteur;;;;Nederlands;;;;;Aspe;Manteau;Pieter;;2006;;298 p.;Detectives;;;;90-223-1965-2;;;;2939259;Van In, Pieter (personage);;;;56
1015789;262;;Boek;Ontmaskerd;auteur;;;;Nederlands;;;4;;Aspe;Manteau;Pieter;;2006;;292 p.;Detectives;;fictie;;90-223-1897-4;;;;3163436;Van In, Pieter (personage);;;;57
1162430;262;;Boek;Fantasia;auteur;;Avonturenverhalen;;Nederlands;;vanaf 8 jaar;12;;Stilton;De Wakkere Muis;Geronimo;;2014;;295, [88] p.;;;fictie;;9789085920496;;;;9388230;;;;;58
918728;261;;Boek;Labyrint;auteur;;;;Nederlands;;;4de dr.;;Mankell;De Geus;Henning;;cop. 2007;;247 p.;Detectives;;;;978-90-445-0416-3;;;;3032790;;;;;59
1056846;261;;Boek;Postscriptum;auteur;;;;Nederlands;;;1;;Aspe;Manteau;Pieter;;2011;;289 p.;Detectives;;fictie;;9789022326077;;;;8061035;Van In, Pieter (personage);;;;60
1155873;261;;Boek;Bekijk het maar!;auteur;;Humor;;Nederlands;;vanaf 10-11 jaar;11;;Kinney;De Fontein;Jeff;;2014;;223 p.;;;fictie;;9789026195396;;;;9198718;;;;Opgroeien;61
987660;258;;Strip;Mieleke Melleke Mol;scenario van;;Stripverhalen;;Nederlands;;;;;Urbanus;Standaard;Dirk;;2005-;;;;;fictie;;9789002217593;;;;2912662;;;;;62
1021731;255;;Boek;Het ijzingwekkende geheim;auteur;;Avonturenverhalen;;Nederlands;;vanaf 7 jaar;1;;Stilton;Baeckens Books;Thea;;cop. 2010;;178 p., [40] p.;;;fictie;;9789054614654;;;;7675646;;;;;63
1144123;255;;Boek;De ruïnes van Gorlan;auteur;;Fantasy;;Nederlands;;vanaf 12-13 jaar;28;;Flanagan;Gottmer;John;;2014;;285 p.;;;fictie;;9789025750657;;;;9126603;;;;;64
1107330;254;;Boek;Vette pech!;auteur;;Dagboeken;;Nederlands;;vanaf 10-11 jaar;11;;Kinney;De Fontein;Jeff;;2013;;222 p.;;;fictie;;9789026127830;;;;8684945;;;;Opgroeien;65
1145401;254;;Boek;De 100-jarige man die uit het raam klom en verdween;auteur;;;;Nederlands;;;33;;Jonasson;Signatuur;Jonas;;2014;;358 p.;Romans;;fictie;;9789056725044;;;;8968602;Hoogbejaarden;;;;66
1001980;253;;Boek;Genesis;auteur;;;;Nederlands;;;2de dr.;;Slaughter;Cargo;Karin;;2009;;515 p.;Detectives;;fictie;;9789023441908;;;;7341979;Linton, Sara (personage);;;;67
1096469;253;;Boek;Blauwe maandag;auteur;;;;Nederlands;;;8;;French;Anthos;Nicci;;2012;;369 p.;Romans;;fictie;;9789041414649;;;;8544340;Klein, Frieda (personage);;;;68
1056600;252;;Boek;Eten, bidden, beminnen;auteur;;;;Nederlands;;;42;;Gilbert;Cargo;Elizabeth;;2011;;474 p.;Autobiografische literatuur;;fictie;;9789023462880;;;;8067945;Gilbert, Elizabeth (1969-);;;;69
1087077;250;;Boek;De voedselzandloper;auteur;;;;Nederlands;;;17;;Verburgh;Bakker;Kris;;2012;Non-fictie 2012 keuze van de bib;366 p.;;628.8;non-fictie;;9789035137585;;;;8280368;;LGGLJB;;;70
661019;248;;Tijdschrift;Pippo;;;;;Nederlands;8710966361757;;;Jeugdtijdschriften;;Malmberg;;;s.d.;;;;;;;;;;;1630240;;;;;71
905450;247;;Tijdschrift;Bodytalk;;;;1783-3000;Nederlands;;;;;;Roularta Media Group;;;2006-;;;;601.2;;;;349;;;3030820;;LGGLGL;;;72
990480;247;;Boek;Bankroet;auteur;;;;Nederlands;;;2de dr.;;Aspe;Manteau;Pieter;;2009;;296 p.;Detectives;;fictie;;9789022322482;;;;7251963;Van In, Pieter (personage);;;;73
1022543;247;;Boek;Een diefstal om van te smullen;auteur;;Avonturenverhalen;;Nederlands;;vanaf 8 jaar;1;;Stilton;Baeckens Books;Geronimo;;2010;;109 p.;;;fictie;;9789054614937;;;;7627245;;;;;74
1053137;247;;Boek;XY;auteur;;;;Nederlands;;;7;;Veronesi;Prometheus;Sandro;;2011;Romans 2011 keuze van de bib;335 p.;Romans;;fictie;;9789044617627;;;;7914959;Moorden;;;;75
1162439;246;;Boek;Fantasia;auteur;;Avonturenverhalen;;Nederlands;;vanaf 8 jaar;16;;Stilton;De Wakkere Muis;Geronimo;;2015;;378 p.;;;fictie;;9789058930088;;;;9395311;;;;;76
1064480;245;;Boek;Onaantastbaar;auteur;;;;Nederlands;;;12;;Slaughter;Cargo;Karin;;2011;;426 p.;Detectives;;fictie;;9789023464709;;;;7639795;Linton, Sara (personage);;;;77
1055510;242;;Boek;Dagelijkse kost;auteur;;;;Nederlands;;;4;;Meus;Van Halewyck;Jeroen;;2011;;191 p.;;629.2;non-fictie;;9789461310422;;;;7972915;;EDBKAZ;;;78
1160711;241;;Boek;En uit de bergen kwam de echo;auteur;;;;Nederlands;;volwassenen;16;;Hosseini;De Bezige Bij;Khaled;;2014;;415 p.;Romans;;fictie;;9789023489900;;;;9173492;Afghanistan;;;;79
1079410;240;;Boek;Een hondenleven;auteur;;Dagboeken;;Nederlands;;vanaf 10-11 jaar;4;;Kinney;De Fontein;Jeff;;cop. 2012;;223 p.;;;fictie;;9789026132360;;;;8262053;;;;Opgroeien;80
984831;238;;Boek;De Thea Sisters op avontuur;auteur;;Avonturenverhalen;;Nederlands;;vanaf 7 jaar;;;Stilton;Baeckens Books;Thea;;2008;;236 p., [30] p.;;;fictie;;9789054616139;;;;7170562;;;;;81
1017547;238;;Boek;De reis om de wereld in 80 dagen;auteur;;;;Nederlands;;vanaf 9 jaar;;;Stilton;Baeckens Books;Geronimo;;2009;;212 p.;;;fictie;;9789054613862;;;;7548039;;;;Wereldreizen;82
1023644;238;;Boek;Tot het voorbij is;auteur;;;;Nederlands;;;8;;French;Anthos;Nicci;;2008;;415 p.;Thrillers;;fictie;;9789041413512;;;;7705218;;;;;83
1156019;238;;Boek;Harry Potter en de halfbloed prins;auteur;;Fantasy;;Nederlands;;vanaf 12-13 jaar;1;;Rowling;De Harmonie;J.K.;;2011;;555 p.;;;fictie;;9789061699811;;;;7916530;;;;Toveren;84
1158276;238;;Boek;De engelenmaker;auteur;;;;Nederlands;;volwassenen;39;;Brijs;Atlas Contact;Stefan;;2014;;428 p.;Romans;;fictie;;9789045020068;;;;9342813;Klonen;;;;85
1060590;235;;Boek;Norwegian wood;auteur;;;;Nederlands;;;17;;Murakami;Atlas;Haruki;;2011;;317 p.;Romans;;fictie;;9789045017426;;;;8124369;Jeugd ; Japan ; 1970-;;;;86
1111606;235;;Boek;De GVR;auteur;;Humor;;Nederlands;;vanaf 9 jaar;57;;Dahl;De Fontein;Roald;;2012;;206 p.;;;fictie;;9789026131783;;;;8676366;;;;Reuzen;87
932581;234;;Boek;Rebus;auteur;;;;Nederlands;;;;;Aspe;Manteau;Pieter;;2007;;306 p.;Detectives;;fictie;;9789022321430;;;;3075434;Van In, Pieter (personage);;;;88
1038763;232;;Boek;Erewoord;auteur;;;;Nederlands;;;1;;Aspe;Manteau;Pieter;;2010;;287 p.;Detectives;;fictie;;9789022324851;;;;7800308;Van In, Pieter (personage);;;;89
1044663;232;;Boek;Tirza;auteur;;;;Nederlands;;;33;;Grunberg;Nijgh en Van Ditmar;Arnon;;2010;Friedl;430 p.;Romans;;fictie;;9789038890593;;;;7814459;Vader-dochterrelatie;;;;90
923143;231;;Boek;De geheimzinnige kaasdief;auteur;;Detectives;;Nederlands;;vanaf 8 jaar;;;Stilton;Bakermat;Geronimo;;2012;;117 p.;;;;;9789054614104;;;;7455314;;;;Muizen;91
1160715;231;;Boek;Vijftig tinten grijs;auteur;;;;Nederlands;;volwassenen;33;;James;Prometheus;E.L.;;2015;;526 p.;Erotische literatuur;;fictie;;9789044627626;;;;9219159;;;;;92
44528;230;;Boek;Ewijkshoeve;auteur;;;;Frans;;;;;Van der Wiel;Querido;Rein;;1988;;205 p.;;Nederlands 855;;;90-214-8805-1;;;;701055;;;;;93
954180;230;;Strip;Death note;scenario van;;;;Nederlands;;;;;Ohba;Kana;Tsugumi;;2007-;;12 dl.;Stripverhalen;;fictie;;9789086770373;;;;3127364;;;;;94
1017550;230;;Boek;Koning Arthur;auteur;;;;Nederlands;;vanaf 9 jaar;;;Stilton;Baeckens Books;Geronimo;;2009;;212 p.;;;fictie;;9789054613992;;;;7547812;;;;Arthurverhalen;95
1025783;228;;Boek;De verborgen geschiedenis van Courtillon;auteur;;;;Nederlands;;;1;;Lewinsky;Signatuur;Charles;;2010;;288 p.;Romans;;fictie;;9789056723217;;;;7554860;Geheimen;;;;96
1084965;228;;Boek;Fairfield park;auteur;;;;Nederlands;;;2;;Montefiore;Boekerij;Santa;;cop. 2012;;383 p.;Romantische literatuur;;fictie;;9789022562277;;;;8396478;;;;;97
915018;227;;Boek;Alibi;auteur;;;;Nederlands;;;;;Aspe;Manteau;Pieter;;2006;;289 p.;Detectives;;fictie;;90-223-1967-9;;;;3029865;Van In, Pieter (personage);;;;98
1022519;227;;Boek;De bende van Ratstad;auteur;;Detectives;;Nederlands;;vanaf 9 jaar;1;;Stilton;Baeckens Books;Geronimo;;2010;;187 p.;;;fictie;;9789054614975;;;;7627248;;;;;99
1092899;227;;Boek;De vrouw die met vuur speelde;auteur;;;;Nederlands;;;19;;Larsson;Signatuur;Stieg;;2012;;568 p.;Detectives;;fictie;;9789056724061;;;;8486102;Blomkvist, Mikael (personage);;Millennium-trilogie;;100
