Boek.BBnr;freq;Boek.category_music;Boek.type;Boek.title;Boek.author_type;Boek.ISBN_wrong;Boek.category_youth;Boek.ISSN;Boek.language;Boek.EAN;Boek.age;Boek.series_edition;Boek.keywords_youth;Boek.author_lastname;Boek.publisher;Boek.author_firstname;Boek.keywords_libraries;Boek.year_published;Boek.keywords_local;Boek.pages;Boek.category_adults;Boek.SISO;Boek.literarytype;Boek.EAN_wrong;Boek.ISBN;Boek.ISSN_wrong;Boek.SISO_libraries;Boek.AVI;Boek.openvlaccid;Boek.keyword_adults;Boek.ZIZO;Boek.series_title;Boek.keyword_youth;Boek.rank
1009073;1109;;Boek;De cel;auteur;;;;Nederlands;;;;;Aspe;Manteau;Pieter;;2009;;282 p.;Detectives;;fictie;;9789022323557;;;;7482893;Van In, Pieter (personage);;;;63
981577;1108;;DVD-Video;Het huis Anubis;;;Avonturenfilms;;Nederlands;5414233902317;;;;;Studio 100;;;2007;;;;;fictie;;;;;;;;;;Geheimen;64
987660;1105;;Strip;Mieleke Melleke Mol;scenario van;;Stripverhalen;;Nederlands;;;;;Urbanus;Standaard;Dirk;;2005-;;;;;fictie;;9789002217593;;;;2912662;;;;;65
1107330;1101;;Boek;Vette pech!;auteur;;Dagboeken;;Nederlands;;vanaf 10-11 jaar;11;;Kinney;De Fontein;Jeff;;2013;;222 p.;;;fictie;;9789026127830;;;;8684945;;;;Opgroeien;66
1064742;1094;;Boek;Reis door de tijd;auteur;;;;Nederlands;;vanaf 8 jaar;3de dr.;;Stilton;Bakermat;Geronimo;;2009;;317, [56] p.;;;fictie;;9789054615392;;;;8194135;;;;Tijdreizen;67
1162846;1085;;Boek;De schaduw van de wind;auteur;;;;Nederlands;;volwassenen;40;;Ruiz Zafón;Signatuur;Carlos;;2014;;541 p.;Romans;;fictie;;9789056725198;;;;9235009;Boekcultuur;;Het kerkhof der vergeten boeken;;68
927954;1083;;Boek;Gi-ga-geitenkaas, ik heb gewonnen!;auteur;;;;Nederlands;;vanaf 9 jaar;;;Stilton;Baeckens Books;Geronimo;;2008;;114 p.;;;fictie;;9789054615248;;;;3104188;;;;Loterijen;69
1144123;1077;;Boek;De ruïnes van Gorlan;auteur;;Fantasy;;Nederlands;;vanaf 12-13 jaar;28;;Flanagan;Gottmer;John;;2014;;285 p.;;;fictie;;9789025750657;;;;9126603;;;;;70
1032708;1068;;Boek;Red de witte walvis!;auteur;;Avonturenverhalen;;Nederlands;;vanaf 7 jaar;1;;Stilton;Baeckens Books;Geronimo;;2010;;107 p.;;;fictie;;9789054614944;;;;7627242;;;;;71
984831;1067;;Boek;De Thea Sisters op avontuur;auteur;;Avonturenverhalen;;Nederlands;;vanaf 7 jaar;;;Stilton;Baeckens Books;Thea;;2008;;236 p., [30] p.;;;fictie;;9789054616139;;;;7170562;;;;;72
1031983;1067;;Boek;Het geheim van de zwarte pop;auteur;;Detectives;;Nederlands;;vanaf 7 jaar;1;;Stilton;Baeckens Books;Thea;;2010;;175 p., [40] p.;;;fictie;;9789054614999;;;;7627264;;;;;73
998217;1060;;Boek;Het spel van de engel;auteur;;;;Nederlands;;;;;Ruiz Zafón;Signatuur;Carlos;;2009;;551 p.;;;fictie;;9789056723156;;;;7237581;Barcelona ; 1900-1945;;Het kerkhof der vergeten boeken;;74
1022543;1058;;Boek;Een diefstal om van te smullen;auteur;;Avonturenverhalen;;Nederlands;;vanaf 8 jaar;1;;Stilton;Baeckens Books;Geronimo;;2010;;109 p.;;;fictie;;9789054614937;;;;7627245;;;;;75
1032709;1057;;Boek;De roep van de wildernis;auteur;;Avonturenverhalen;;Nederlands;;vanaf 9 jaar;;;Stilton;Baeckens Books;Geronimo;;2009;;215 p.;;;fictie;;9789054614517;;;;7413917;;;;Honden;76
1017550;1055;;Boek;Koning Arthur;auteur;;;;Nederlands;;vanaf 9 jaar;;;Stilton;Baeckens Books;Geronimo;;2009;;212 p.;;;fictie;;9789054613992;;;;7547812;;;;Arthurverhalen;77
1054228;1034;;Boek;Problemski hotel;auteur;;;;Nederlands;;;11;;Verhulst;Contact;Dimitri;;2010;Friedl;109 p.;;;fictie;;9789025425043;;;;7994354;Reportages;;;;78
1088713;1034;;Boek;Niet te doen!;auteur;;Dagboeken;;Nederlands;;vanaf 10-11 jaar;4;;Kinney;De Fontein;Jeff;;2013;;223 p.;;;fictie;;9789026132377;;;;8363470;;;;Opgroeien;79
1079410;1031;;Boek;Een hondenleven;auteur;;Dagboeken;;Nederlands;;vanaf 10-11 jaar;4;;Kinney;De Fontein;Jeff;;cop. 2012;;223 p.;;;fictie;;9789026132360;;;;8262053;;;;Opgroeien;80
1156019;1026;;Boek;Harry Potter en de halfbloed prins;auteur;;Fantasy;;Nederlands;;vanaf 12-13 jaar;1;;Rowling;De Harmonie;J.K.;;2011;;555 p.;;;fictie;;9789061699811;;;;7916530;;;;Toveren;81
966083;1022;;Boek;De zevende kamer;auteur;;;;Nederlands;;;;;Aspe;Manteau;Pieter;;2008;;289 p.;Detectives;;fictie;;9789022322468;;;;6882588;Van In, Pieter (personage);;;;82
1157696;1019;;Boek;Verloren;auteur;;;;Nederlands;;volwassenen;14;;French;Anthos;Nicci;;2014;;293 p.;Romans;;fictie;;9789041426444;;;;9060898;;;;;83
1022519;1017;;Boek;De bende van Ratstad;auteur;;Detectives;;Nederlands;;vanaf 9 jaar;1;;Stilton;Baeckens Books;Geronimo;;2010;;187 p.;;;fictie;;9789054614975;;;;7627248;;;;;84
987900;1013;;Boek;Lust;auteur;;;;Nederlands;;;;;Deflo;Manteau;Luc;;2009;;326 p.;Detectives;;fictie;;9789022323229;;;;7098359;;;;;85
1025406;1009;;Boek;De vijand;auteur;;;;Nederlands;;;1;;Aspe;Manteau;Pieter;;2010;;288 p.;Detectives;;fictie;;9789022324837;;;;7618896;Van In, Pieter (personage);;;;86
893388;1008;;Boek;Zonder spijt;auteur;;;;Nederlands;;;;;Aspe;Manteau;Pieter;;2006;;298 p.;Detectives;;;;90-223-1965-2;;;;2939259;Van In, Pieter (personage);;;;87
996574;997;;Boek;Misleid;auteur;;;;Nederlands;;;;;Aspe;Manteau;Pieter;;2009;;283 p.;Detectives;;fictie;;9789022323564;;;;7338271;Van In, Pieter (personage);;;;88
1158028;997;;Boek;Post voor mevrouw Bromley;auteur;;;;Nederlands;;volwassenen;13;;Brijs;Atlas Contact;Stefan;;2014;Romans 2011 keuze van de bib;510 p.;Historische literatuur;;fictie;;9789025443948;;;;9060344;Dienstweigering;;;;89
1087077;995;;Boek;De voedselzandloper;auteur;;;;Nederlands;;;17;;Verburgh;Bakker;Kris;;2012;Non-fictie 2012 keuze van de bib;366 p.;;628.8;non-fictie;;9789035137585;;;;8280368;;LGGLJB;;;90
964637;987;;Boek;De drakencode;auteur;;Detectives;;Nederlands;;vanaf 9 jaar;;;Stilton;Baeckens Books;Thea;;2008;;173 p., [51] p.;;;fictie;;9789054615781;;;;6944907;;;;;91
1032710;984;;Boek;Robin Hood;auteur;;Avonturenverhalen;;Nederlands;;vanaf 9 jaar;;;Stilton;Baeckens Books;Geronimo;;2009;;219 p.;;;fictie;;9789054614494;;;;7413988;;;;Robin Hood;92
990480;982;;Boek;Bankroet;auteur;;;;Nederlands;;;2de dr.;;Aspe;Manteau;Pieter;;2009;;296 p.;Detectives;;fictie;;9789022322482;;;;7251963;Van In, Pieter (personage);;;;93
1107324;981;;Boek;Logboek van Bram Botermans;auteur;;Dagboeken;;Nederlands;;vanaf 10-11 jaar;16;;Kinney;Fontein;Jeff;;2013;;223 p.;;;fictie;;9789026125690;;;;8684920;;;;Opgroeien;94
1145179;978;;Boek;Fantasia;auteur;;Avonturenverhalen;;Nederlands;;vanaf 8 jaar;9;;Stilton;Bakermat;Geronimo;;2013;;[375] p.;;;fictie;;9789085920717;;;;9142958;;;;;95
1037403;977;;Boek;Ik ben geen supermuis!;auteur;;Avonturenverhalen;;Nederlands;;vanaf 9 jaar;2;;Stilton;Bakermat;Geronimo;;2010;;117 p.;;;fictie;;9789054614463;;;;7859340;;;;Muizen;96
1124751;975;;Boek;Harry Potter en de geheime kamer;auteur;;Fantasy;;Nederlands;;vanaf 10-11 jaar;16;;Rowling;De Harmonie;J.K.;;2013;;254 p.;;;fictie;;9789076174112;;;;8895108;;;;Toveren;97
977821;972;;Boek;Los;auteur;;;;Nederlands;;;12de dr.;;Naegels;Meulenhoff/Manteau;Tom;;2008;Friedl;183 p.;Romans;;fictie;;9789085421399;;;;7094059;Antwerpen;;;;98
1025876;971;;Boek;De avonturen van Odysseus;auteur;;;;Nederlands;;vanaf 8 jaar;1;;Stilton;Baeckens Books;Geronimo;;2010;;332 p., 12 p., [46] p.;;;fictie;;9789054614968;;;;7627239;;;;Odysseus;99
1012403;969;;Boek;Jules zoekt mama;auteur;;Prentenboeken;;Nederlands;;vanaf 3 jaar;;;Berebrouckx;Zwijsen;Annemie;;2009;;[22] p.;;;fictie;;9789055354535;;;;7547691;;;;Verdwalen;100
